% depth(m) velocity(m/yr) uncertainty(m/yr)
9.1 81.4 0.1
23.2 79.9 0.3
38.3 78.1 0.5
54.4 77.5 0.5
69.6 76.8 0.6
84.7 76.9 0.7
99.8 76.9 0.9
113.9 77.4 1.0
131.0 77.4 1.1
146.2 76.4 1.2
162.3 74.6 1.3
177.4 74.7 1.5
191.5 76.6 1.7
208.7 75.9 1.8
223.8 75.6 2.0
238.9 75.3 2.1
255.0 74.6 2.2
270.2 76.2 2.4
284.3 74.4 2.5
299.4 71.9 2.6
314.5 69.7 2.7
330.6 67.5 2.9
344.8 65.7 3.0
358.9 63.2 3.1
376.0 61.7 3.2
391.1 61.8 3.4
404.2 61.5 3.5
421.4 56.0 3.7
435.5 52.3 3.8
450.6 47.5 3.9
465.7 43.5 4.1
473.8 38.3 4.2
484.9 36.9 4.4
